# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  139       5.410760877342e-10       1.512319726997e-13      -5.961483437184e-12       7.986739511054e-16       4.084084290863e-12       7.234751439395e-13      -4.529537026948e-15 
  140       5.456948949171e-10       1.512681870918e-13      -5.998382748408e-12       8.109988811672e-16       4.001566730777e-12       7.125550533293e-13      -4.467879032783e-15 
  141       5.503019228088e-10       1.512383259587e-13      -6.032576957655e-12       8.234450404366e-16       3.921153557361e-12       7.018949672874e-13      -4.407739802877e-15 
  142       5.548960535734e-10       1.511426713619e-13      -6.064009804317e-12       8.360131269473e-16       3.842827012259e-12       6.914886454481e-13      -4.348951349936e-15 
  143       5.594761191191e-10       1.509815947221e-13      -6.092626149684e-12       8.487038362102e-16       3.766560469007e-12       6.813284315701e-13      -4.291329985124e-15 
  144       5.640408999775e-10       1.507555585955e-13      -6.118372016686e-12       8.615178610086e-16       3.692318218044e-12       6.714052204522e-13      -4.234675994551e-15 
  145       5.685891241834e-10       1.504651184512e-13      -6.141194629642e-12       8.744558911937e-16       3.620055251734e-12       6.617084248500e-13      -4.178773315768e-15 
  146       5.731194661541e-10       1.501109244478e-13      -6.161042454002e-12       8.875186134797e-16       3.549717049376e-12       6.522259423917e-13      -4.123389214258e-15 
  147       5.776305455693e-10       1.496937232099e-13      -6.177865236093e-12       9.007067112385e-16       3.481239362222e-12       6.429441224944e-13      -4.068273959927e-15 
  148       5.821209262502e-10       1.492143596056e-13      -6.191614042865e-12       9.140208642955e-16       3.414547998497e-12       6.338477332803e-13      -4.013160503598e-15 
  149       5.865891150396e-10       1.486737785228e-13      -6.202241301633e-12       9.274617487244e-16       3.349558608406e-12       6.249199284928e-13      -3.957764153503e-15 
  150       5.910335606808e-10       1.480730266461e-13      -6.209700839825e-12       9.410300366425e-16       3.286176469159e-12       6.161422144125e-13      -3.901782251773e-15 
  151       5.954526526976e-10       1.474132542339e-13      -6.213947924724e-12       9.547263960058e-16       3.224296269981e-12       6.074944167740e-13      -3.844893850932e-15 
  152       5.998447202739e-10       1.466957168947e-13      -6.214939303217e-12       9.685514904044e-16       3.163801897130e-12       5.989546476812e-13      -3.786759390387e-15 
  153       6.042081541423e-10       1.459217604825e-13      -6.212633469324e-12       9.825059249379e-16       3.104590432020e-12       5.905043686763e-13      -3.727102987259e-15 
